year,geo,dguid,geo_level,is_national,gender,age,population
2019,New Brunswick,2021A000213,province,False,Total - gender,16_plus,657917
2019,New Brunswick,2021A000213,province,False,Women+,16_plus,335089
2019,Newfoundland and Labrador,2021A000210,province,False,Men+,16_plus,221804
2019,Newfoundland and Labrador,2021A000210,province,False,Total - gender,16_plus,451186
2019,Newfoundland and Labrador,2021A000210,province,False,Women+,16_plus,229382
2019,Northwest Territories,2021A000261,province,False,Men+,16_plus,17945
2019,Northwest Territories,2021A000261,province,False,Total - gender,16_plus,34864
2019,Northwest Territories,2021A000261,province,False,Women+,16_plus,16919
2019,Nova Scotia,2021A000212,province,False,Men+,16_plus,404328
2019,Nova Scotia,2021A000212,province,False,Total - gender,16_plus,829190
2019,Nova Scotia,2021A000212,province,False,Women+,16_plus,424862
2019,Nunavut,2021A000262,province,False,Men+,16_plus,13207
2019,Nunavut,2021A000262,province,False,Total - gender,16_plus,25763
2019,Nunavut,2021A000262,province,False,Women+,16_plus,12556
2019,Ontario,2021A000235,province,False,Men+,16_plus,5951673
2019,Ontario,2021A000235,province,False,Total - gender,16_plus,12115645
2019,Ontario,2021A000235,province,False,Women+,16_plus,6163972
2019,Prince Edward Island,2021A000211,province,False,Men+,16_plus,62800
2019,Prince Edward Island,2021A000211,province,False,Total - gender,16_plus,129898
2019,Prince Edward Island,2021A000211,province,False,Women+,16_plus,67098
2019,Quebec,2021A000224,province,False,Men+,16_plus,3499484
2019,Quebec,2021A000224,province,False,Total - gender,16_plus,7047413
2019,Quebec,2021A000224,province,False,Women+,16_plus,3547929
2019,Saskatchewan,2021A000247,province,False,Men+,16_plus,463101
2019,Saskatchewan,2021A000247,province,False,Total - gender,16_plus,922888
2019,Saskatchewan,2021A000247,province,False,Women+,16_plus,459787
2019,Yukon,2021A000260,province,False,Men+,16_plus,17000
2019,Yukon,2021A000260,province,False,Total - gender,16_plus,33902
2019,Yukon,2021A000260,province,False,Women+,16_plus,16902
