geo,year,stations_opened,level2_opened,dcfast_opened,chargers_stations,level2_ports,dcfast_ports,chargers_ports,fast_share,zev_q1,zev_q2,zev_q3,zev_q4,quarters_present,zev_q1i,zev_q2i,zev_q3i,zev_q4i,annual_complete,annual_imputed,ev_annual,ev_method,population_16plus,pct_65_plus,ev_per_1k,ports_per_100k,dcfast_per_100k
New Brunswick,2021,22,34,2,99,130,81,211,0.3838862559241706,67.0,117.0,182.0,107.0,4,67.0,117.0,182.0,107.0,473.0,473.0,473.0,complete_year,671039,26.62,0.7048770637772171,31.443775995135898,12.070833438891032
New Brunswick,2022,32,53,4,131,183,85,268,0.3171641791044776,157.0,204.0,252.0,248.0,4,157.0,204.0,252.0,248.0,861.0,861.0,861.0,complete_year,686223,26.97,1.254694173759842,39.05435988009729,12.3866439918219
New Brunswick,2023,60,85,23,191,268,108,376,0.2872340425531915,220.0,458.0,536.0,532.0,4,220.0,458.0,536.0,532.0,1746.0,1746.0,1746.0,complete_year,704786,27.15,2.4773477339220698,53.3495273742668,15.323800416012803
New Brunswick,2024,35,41,39,226,309,147,456,0.3223684210526316,468.0,799.0,769.0,791.0,4,468.0,799.0,769.0,791.0,2827.0,2827.0,2827.0,complete_year,728182,27.09,3.882271190444147,62.621707210560004,20.18726087708842
Newfoundland and Labrador,2017,0,0,0,0,0,0,0,,,,,,0,,,,,,,,missing,450400,23.2,,0.0,0.0
Newfoundland and Labrador,2018,3,25,0,17,47,0,47,0.0,,,,,0,,,,,,,,missing,450513,24.21,,10.432551335921493,0.0
Newfoundland and Labrador,2019,1,1,0,18,48,0,48,0.0,,,,,0,,,,,,,,missing,451186,25.21,,10.638627971612594,0.0
Newfoundland and Labrador,2020,0,0,0,18,48,0,48,0.0,,,,,0,,,,,,,,missing,451862,26.22,,10.6227122440037,0.0
Newfoundland and Labrador,2021,31,18,14,49,66,14,80,0.175,,,,,0,,,,,,,,missing,453052,27.2,,17.658017181250717,3.090153006718876
Newfoundland and Labrador,2022,49,36,21,98,102,35,137,0.2554744525547445,,,,,0,,,,,,,,missing,457413,27.76,,29.951050800917333,7.651728306803698
Newfoundland and Labrador,2023,17,36,0,115,138,35,173,0.2023121387283237,,,,,0,,,,,,,,missing,464878,28.17,,37.214064765379305,7.528857033458241
Newfoundland and Labrador,2024,8,13,6,123,151,41,192,0.2135416666666666,,,,,0,,,,,,,,missing,473028,28.52,,40.58956340850858,8.667563019525272
Northwest Territories,2017,0,0,0,0,0,0,0,,1.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,complete_year,35068,9.64,0.028516026006615718,0.0,0.0
Northwest Territories,2018,0,0,0,0,0,0,0,,0.0,0.0,2.0,1.0,4,0.0,0.0,2.0,1.0,3.0,3.0,3.0,complete_year,34949,10.36,0.08583936593321698,0.0,0.0
Northwest Territories,2019,0,0,0,0,0,0,0,,0.0,1.0,0.0,1.0,4,0.0,1.0,0.0,1.0,2.0,2.0,2.0,complete_year,34864,11.19,0.057365764111977975,0.0,0.0
Northwest Territories,2020,1,2,0,1,2,0,2,0.0,0.0,0.0,5.0,2.0,4,0.0,0.0,5.0,2.0,7.0,7.0,7.0,complete_year,34954,11.93,0.2002632030668879,5.721805801911083,0.0
Northwest Territories,2021,0,0,0,1,2,0,2,0.0,2.0,3.0,6.0,5.0,4,2.0,3.0,6.0,5.0,16.0,16.0,16.0,complete_year,35077,12.55,0.4561393505715996,5.701741882144995,0.0
Northwest Territories,2022,0,0,0,1,2,0,2,0.0,8.0,7.0,6.0,6.0,4,8.0,7.0,6.0,6.0,27.0,27.0,27.0,complete_year,35248,12.9,0.7660009078529277,5.674080798910577,0.0
Northwest Territories,2023,1,0,1,2,2,1,3,0.3333333333333333,2.0,10.0,12.0,9.0,4,2.0,10.0,12.0,9.0,33.0,33.0,33.0,complete_year,35497,13.42,0.9296560272699101,8.451418429726456,2.8171394765754854
Northwest Territories,2024,5,4,3,7,6,4,10,0.4,4.0,12.0,16.0,13.0,4,4.0,12.0,16.0,13.0,45.0,45.0,45.0,complete_year,36305,13.84,1.23949869164027,27.544415369783778,11.01776614791351
Nova Scotia,2017,3,9,0,24,42,0,42,0.0,6.0,9.0,8.0,8.0,4,6.0,9.0,8.0,8.0,31.0,31.0,31.0,complete_year,807538,23.45,0.03838828637166301,5.200993637451117,0.0
Nova Scotia,2018,1,1,0,25,43,0,43,0.0,14.0,13.0,24.0,29.0,4,14.0,13.0,24.0,29.0,80.0,80.0,80.0,complete_year,816795,23.95,0.09794379250607557,5.264478847201563,0.0
Nova Scotia,2019,19,23,19,44,66,19,85,0.2235294117647059,18.0,42.0,61.0,39.0,4,18.0,42.0,61.0,39.0,160.0,160.0,160.0,complete_year,829190,24.44,0.19295939410750249,10.25096781196107,2.291392805026592
Nova Scotia,2020,8,14,4,52,80,23,103,0.2233009708737864,54.0,31.0,67.0,97.0,4,54.0,31.0,67.0,97.0,249.0,249.0,249.0,complete_year,841265,24.98,0.2959828353729205,12.243466684100728,2.7339779974205514
Nova Scotia,2021,21,65,3,73,145,26,171,0.1520467836257309,86.0,175.0,196.0,172.0,4,86.0,175.0,196.0,172.0,629.0,629.0,629.0,complete_year,851575,25.57,0.7386313595396765,20.08043918621378,3.053166192055896
Nova Scotia,2022,70,122,9,143,267,35,302,0.1158940397350993,144.0,206.0,310.0,312.0,4,144.0,206.0,310.0,312.0,972.0,972.0,972.0,complete_year,872481,25.82,1.114064375040832,34.61393428624807,4.011548675558551
Nova Scotia,2023,67,125,17,210,392,52,444,0.1171171171171171,280.0,450.0,629.0,612.0,4,280.0,450.0,629.0,612.0,1971.0,1971.0,1971.0,complete_year,898034,25.9,2.194794406447863,49.44133518330041,5.790426643089237
Nova Scotia,2024,47,70,29,257,462,81,543,0.149171270718232,494.0,694.0,751.0,870.0,4,494.0,694.0,751.0,870.0,2809.0,2809.0,2809.0,complete_year,925347,25.91,3.0356179897919375,58.68068951431193,8.753473021471946
Ontario,2017,83,214,23,276,589,111,700,0.1585714285714285,1320.0,2089.0,2129.0,2640.0,4,1320.0,2089.0,2129.0,2640.0,8178.0,8178.0,8178.0,complete_year,11666918,20.04,0.7009563279693918,5.999870745641651,0.951408075380319
Ontario,2018,97,562,21,373,1151,132,1283,0.1028838659392049,2747.0,6949.0,5178.0,1886.0,4,2747.0,6949.0,5178.0,1886.0,16760.0,16760.0,16760.0,complete_year,11891443,20.32,1.4094168386460753,10.789270906819299,1.1100419015589613
Ontario,2019,280,626,326,653,1777,458,2235,0.2049217002237136,1343.0,2875.0,3149.0,2278.0,4,1343.0,2875.0,3149.0,2278.0,9645.0,9645.0,9645.0,complete_year,12115645,20.65,0.7960781287335507,18.447222578740135,3.780236215240707
Ontario,2020,190,305,216,843,2082,674,2756,0.2445573294629898,1712.0,1761.0,3568.0,3476.0,4,1712.0,1761.0,3568.0,3476.0,10517.0,10517.0,10517.0,complete_year,12289622,21.05,0.8557626914806655,22.425425289728196,5.4843021209277225
Ontario,2021,433,973,150,1276,3055,824,3879,0.2124258829595256,3362.0,5148.0,5171.0,6129.0,4,3362.0,5148.0,5171.0,6129.0,19810.0,19810.0,19810.0,complete_year,12374497,21.59,1.6008731506420018,31.346728679153582,6.658856517561885
Ontario,2022,758,1644,210,2034,4699,1034,5733,0.180359323216466,7124.0,9534.0,11013.0,10991.0,4,7124.0,9534.0,11013.0,10991.0,38662.0,38662.0,38662.0,complete_year,12676090,21.8,3.049994122793385,45.22687989750783,8.157089449506906
Ontario,2023,941,2259,307,2975,6958,1341,8299,0.16158573322087,8520.0,12797.0,14710.0,14105.0,4,8520.0,12797.0,14710.0,14105.0,50132.0,50132.0,50132.0,complete_year,13129640,21.78,3.818231116770909,63.208130611349596,10.21353213035544
Ontario,2024,848,2296,307,3823,9254,1648,10902,0.1511649238671803,11026.0,14370.0,15946.0,15251.0,4,11026.0,14370.0,15946.0,15251.0,56593.0,56593.0,56593.0,complete_year,13606758,21.79,4.159183252910061,80.1219511657369,12.111628648058561
Prince Edward Island,2017,4,4,0,16,23,0,23,0.0,0.0,0.0,1.0,5.0,4,0.0,0.0,1.0,5.0,6.0,6.0,6.0,complete_year,124557,23.12,0.048170717021122855,18.46544152476376,0.0
Prince Edward Island,2018,2,3,0,18,26,0,26,0.0,5.0,5.0,5.0,1.0,4,5.0,5.0,5.0,1.0,16.0,16.0,16.0,complete_year,126690,23.48,0.12629252506117294,20.522535322440604,0.0
Prince Edward Island,2019,1,2,0,19,28,0,28,0.0,6.0,11.0,15.0,11.0,4,6.0,11.0,15.0,11.0,43.0,43.0,43.0,complete_year,129898,23.77,0.3310289611849297,21.555374216693096,0.0
Prince Edward Island,2020,6,6,6,25,34,6,40,0.15,7.0,5.0,27.0,6.0,4,7.0,5.0,27.0,6.0,45.0,45.0,45.0,complete_year,133144,24.03,0.33797993150273387,30.04266057802079,4.5063990867031185
Prince Edward Island,2021,29,61,12,54,95,18,113,0.1592920353982301,20.0,21.0,89.0,43.0,4,20.0,21.0,89.0,43.0,173.0,173.0,173.0,complete_year,136190,24.45,1.2702841618327336,82.97231808502826,13.216829429473531
Prince Edward Island,2022,35,63,0,89,158,18,176,0.1022727272727272,45.0,47.0,73.0,55.0,4,45.0,47.0,73.0,55.0,220.0,220.0,220.0,complete_year,140649,24.55,1.5641774914858975,125.13419931887181,12.797815839430072
Prince Edward Island,2023,54,107,5,143,265,23,288,0.0798611111111111,76.0,120.0,159.0,147.0,4,76.0,120.0,159.0,147.0,502.0,502.0,502.0,complete_year,146934,24.32,3.416499925136456,196.00637020703175,15.65328650958934
Prince Edward Island,2024,16,41,0,159,306,23,329,0.0699088145896656,108.0,173.0,168.0,166.0,4,108.0,173.0,168.0,166.0,615.0,615.0,615.0,complete_year,152476,24.17,4.033421653243789,215.77166242556203,15.084341142212546
Quebec,2017,52,188,0,276,623,17,640,0.0265625,1245.0,2028.0,2111.0,2409.0,4,1245.0,2028.0,2111.0,2409.0,7793.0,7793.0,7793.0,complete_year,6902190,22.07,1.1290619354147016,9.272419333573836,0.24629863854805503
Quebec,2018,31,174,2,307,797,19,816,0.0232843137254901,2565.0,5119.0,4433.0,5725.0,4,2565.0,5119.0,4433.0,5725.0,17842.0,17842.0,17842.0,complete_year,6971881,22.53,2.559137196977401,11.70415846168344,0.27252329751468796
Quebec,2019,1410,2424,525,1717,3221,544,3765,0.1444887118193891,3793.0,9374.0,7822.0,6058.0,4,3793.0,9374.0,7822.0,6058.0,27047.0,27047.0,27047.0,complete_year,7047413,23.03,3.837862205606511,53.42385922323553,7.719144599585692
Quebec,2020,360,586,177,2077,3807,721,4528,0.1592314487632508,5638.0,4469.0,8646.0,7391.0,4,5638.0,4469.0,8646.0,7391.0,26144.0,26144.0,26144.0,complete_year,7099930,23.57,3.682289825392645,63.77527665765719,10.15502969747589
Quebec,2021,369,656,203,2446,4463,924,5387,0.1715240393540003,6913.0,11831.0,10614.0,7676.0,4,6913.0,11831.0,10614.0,7676.0,37034.0,37034.0,37034.0,complete_year,7120198,24.26,5.201259852605222,75.65800838684542,12.977167207990563
Quebec,2022,516,891,264,2962,5354,1188,6542,0.1815958422500764,10408.0,11105.0,12205.0,12163.0,4,10408.0,11105.0,12205.0,12163.0,45881.0,45881.0,45881.0,complete_year,7206520,24.81,6.366595804909998,90.77890576866504,16.48507185160105
Quebec,2023,715,1713,332,3677,7067,1520,8587,0.1770117619657622,11933.0,20131.0,24307.0,23431.0,4,11933.0,20131.0,24307.0,23431.0,79802.0,79802.0,79802.0,complete_year,7346358,25.15,10.862797593038618,116.88785109574022,20.690524474848626
Quebec,2024,688,1706,398,4365,8773,1918,10691,0.1794032363670377,23490.0,33984.0,40915.0,49368.0,4,23490.0,33984.0,40915.0,49368.0,147757.0,147757.0,147757.0,complete_year,7511679,25.38,19.670302737909857,142.32503811731038,25.53357245430749
Saskatchewan,2017,5,5,0,19,32,0,32,0.0,8.0,7.0,9.0,7.0,4,8.0,7.0,9.0,7.0,31.0,31.0,31.0,complete_year,910563,19.1,0.03404487114016273,3.5143092789845407,0.0
Saskatchewan,2018,2,2,0,21,34,0,34,0.0,11.0,24.0,23.0,29.0,4,11.0,24.0,23.0,29.0,87.0,87.0,87.0,complete_year,916551,19.53,0.09492106822206293,3.709558987988666,0.0
Saskatchewan,2019,6,5,4,27,39,4,43,0.0930232558139534,25.0,50.0,53.0,47.0,4,25.0,50.0,53.0,47.0,175.0,175.0,175.0,complete_year,922888,20.08,0.18962214266519883,4.65928693405917,0.4334220403775973
Saskatchewan,2020,8,2,38,35,41,42,83,0.5060240963855421,46.0,35.0,76.0,41.0,4,46.0,35.0,76.0,41.0,198.0,198.0,198.0,complete_year,925803,20.75,0.21386839316787698,8.96519021865343,4.536602279318602
Saskatchewan,2021,20,19,17,55,60,59,119,0.4957983193277311,104.0,101.0,130.0,143.0,4,104.0,101.0,130.0,143.0,478.0,478.0,478.0,complete_year,926833,21.42,0.5157347655942333,12.839421988643045,6.365763843108737
Saskatchewan,2022,39,47,34,94,107,93,200,0.465,130.0,194.0,203.0,178.0,4,130.0,194.0,203.0,178.0,705.0,705.0,705.0,complete_year,936941,21.84,0.7524486600543684,21.346061278138112,9.925918494334223
Saskatchewan,2023,41,49,36,135,156,129,285,0.4526315789473684,188.0,280.0,350.0,258.0,4,188.0,280.0,350.0,258.0,1076.0,1076.0,1076.0,complete_year,963607,21.95,1.116637799434832,29.576372940420733,13.387200383558858
Saskatchewan,2024,34,34,22,169,190,151,341,0.4428152492668621,265.0,336.0,414.0,379.0,4,265.0,336.0,414.0,379.0,1394.0,1394.0,1394.0,complete_year,997502,21.91,1.397490932349008,34.18539511700227,15.137814260021532
Yukon,2017,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complete_year,32527,14.07,0.0,0.0,0.0
Yukon,2018,0,0,0,0,0,0,0,,0.0,0.0,1.0,1.0,4,0.0,0.0,1.0,1.0,2.0,2.0,2.0,complete_year,33297,14.83,0.060065471363786524,0.0,0.0
Yukon,2019,2,0,2,2,0,2,2,1.0,1.0,4.0,4.0,0.0,4,1.0,4.0,4.0,0.0,9.0,9.0,9.0,complete_year,33902,15.76,0.2654710636540617,5.89935697009026,5.89935697009026
Yukon,2020,2,0,2,4,0,4,4,1.0,4.0,4.0,6.0,11.0,4,4.0,4.0,6.0,11.0,25.0,25.0,25.0,complete_year,34566,16.66,0.7232540646878435,11.572065035005496,11.572065035005496
Yukon,2021,0,0,0,4,0,4,4,1.0,13.0,20.0,26.0,8.0,4,13.0,20.0,26.0,8.0,67.0,67.0,67.0,complete_year,35479,17.45,1.8884410496349953,11.274274923194003,11.274274923194003
Yukon,2022,8,0,8,12,0,12,12,1.0,9.0,19.0,25.0,30.0,4,9.0,19.0,25.0,30.0,83.0,83.0,83.0,complete_year,36293,17.73,2.2869423855839965,33.06422726145538,33.06422726145538
Yukon,2023,11,19,7,23,19,19,38,0.5,24.0,40.0,41.0,49.0,4,24.0,40.0,41.0,49.0,154.0,154.0,154.0,complete_year,37706,17.97,4.084230626425503,100.77971675595396,50.38985837797698
Yukon,2024,5,5,4,28,24,23,47,0.4893617021276595,42.0,77.0,47.0,52.0,4,42.0,77.0,47.0,52.0,218.0,218.0,218.0,complete_year,39693,17.89,5.492152268661981,118.40878744362986,57.94472577028695
